id,origin_code,destination_code,airline_code,flight_number,cabin_class,price,currency,departure_date,days_until_dep,day_of_week,month,week_of_year,is_holiday,is_weekend,seats_available,recorded_at,is_live
000ac288-c704-456d-8e02-d4b0315a422c,GAU,BLR,I5,HIST-000,Economy,5801.00,INR,2024-06-22,14,5,6,25,false,true,50,2024-06-08 00:00:00+00,false
00204d6f-c272-4751-994b-893250d1f169,CCU,RPR,2T,HIST-000,Economy,6359.00,INR,2024-12-16,14,0,12,51,false,false,50,2024-12-02 00:00:00+00,false
002e33c6-b4ec-4145-a9f6-397536d30fce,JAI,IDR,G8,HIST-000,Economy,6997.00,INR,2023-06-13,14,1,6,24,false,false,50,2023-05-30 00:00:00+00,false
003c3c00-af00-4e41-825b-3b46b0b437ff,CCU,HYD,QP,HIST-000,Economy,7807.00,INR,2025-09-26,14,4,9,39,false,false,50,2025-09-12 00:00:00+00,false
0051abe1-f3fc-4ebf-b159-3a4031578161,MAA,AMD,QP,HIST-000,Economy,11534.00,INR,2023-11-06,14,0,11,45,false,false,50,2023-10-23 00:00:00+00,false
0054c2cd-dfd5-486d-89c1-e78d19e557e9,PNQ,HYD,S5,HIST-000,Economy,10027.00,INR,2025-04-13,14,6,4,15,false,true,50,2025-03-30 00:00:00+00,false
005b6471-8d43-4d11-bb13-7490cd29857f,DEL,BLR,AI,AI-2485,ECONOMY,13237.20,INR,2026-04-19,15,6,4,16,false,true,9,2026-04-04 22:07:01.730289+00,true
005f0f3c-5d2f-4398-8ace-3366363e0f7f,STV,IDR,6E,HIST-000,Economy,10339.00,INR,2023-10-02,14,0,10,40,false,false,50,2023-09-18 00:00:00+00,false
00654503-e9d1-42fe-b08c-75ebdf2c1e0f,MAA,BLR,UK,HIST-000,Economy,11642.00,INR,2023-06-25,14,6,6,25,false,true,50,2023-06-11 00:00:00+00,false
006c8c0e-0b33-43d5-a06f-bf90ed24eb0f,DEL,BOM,AI,AI-2425,ECONOMY,6383.70,INR,2026-04-26,22,6,4,17,false,true,9,2026-04-04 22:09:37.962124+00,true
0074599f-b263-4d62-a51a-fdf38e96080c,GAU,AMD,UK,HIST-000,Economy,12642.00,INR,2024-05-06,14,0,5,19,false,false,50,2024-04-22 00:00:00+00,false
008a4448-4066-4ef6-89f4-3bd3d879ea48,AMD,RPR,G8,HIST-000,Economy,12713.00,INR,2024-07-16,14,1,7,29,false,false,50,2024-07-02 00:00:00+00,false
008b9256-2786-4bcc-b0ac-2bc69f35b099,PAT,HYD,G8,HIST-000,Economy,5485.00,INR,2025-12-03,14,2,12,49,false,false,50,2025-11-19 00:00:00+00,false
008c994e-e2ef-4e7b-b4cb-b069bc9d292f,LKO,GOI,AI,HIST-000,Economy,2639.00,INR,2024-06-06,14,3,6,23,false,false,50,2024-05-23 00:00:00+00,false
00909ebf-f720-45af-b210-93b45470a6ac,PNQ,BOM,SG,HIST-000,Economy,6861.00,INR,2025-08-11,14,0,8,33,false,false,50,2025-07-28 00:00:00+00,false
009648a8-2da6-481b-b1da-775b581afdaa,HYD,GOI,G8,HIST-000,Economy,4165.00,INR,2024-11-17,14,6,11,46,false,true,50,2024-11-03 00:00:00+00,false
00969e7e-0b94-4e9a-8f7a-a350cda6c5f6,PNQ,RPR,SG,HIST-000,Economy,7613.00,INR,2024-06-07,14,4,6,23,false,false,50,2024-05-24 00:00:00+00,false
009ea459-5788-4616-989e-c714974d5517,PNQ,COK,UK,HIST-000,Economy,11768.00,INR,2024-06-20,14,3,6,25,false,false,50,2024-06-06 00:00:00+00,false
00a38bf2-ddbb-491b-bb66-91519ac45cf2,IDR,GOI,QP,HIST-000,Economy,14277.00,INR,2023-07-26,14,2,7,30,false,false,50,2023-07-12 00:00:00+00,false
00a6dc44-32ce-4996-ad9f-1d2627a2d129,BBI,MAA,UK,HIST-000,Economy,8004.00,INR,2024-03-03,14,6,3,9,false,true,50,2024-02-18 00:00:00+00,false
00c9c6bc-22ea-450a-a540-0ea6cbda8406,RPR,BBI,UK,HIST-000,Economy,4675.00,INR,2025-11-07,14,4,11,45,false,false,50,2025-10-24 00:00:00+00,false
00d35f50-07bc-4989-9dfa-a25a587118ae,DEL,MAA,AI,AI-2895,ECONOMY,7443.00,INR,2026-04-07,3,1,4,15,false,false,9,2026-04-04 22:15:09.138743+00,true
00d77337-6d91-4541-9604-d95ef24ff9c2,IDR,BLR,AI,HIST-000,Economy,3974.00,INR,2023-09-19,14,1,9,38,false,false,50,2023-09-05 00:00:00+00,false
00f36752-d81d-4c06-a8df-329c72548d7b,BOM,IDR,AI,HIST-000,Economy,11810.00,INR,2024-06-18,14,1,6,25,false,false,50,2024-06-04 00:00:00+00,false
0101adad-5e40-48ca-8b32-32081620ced7,AMD,CCU,QP,HIST-000,Economy,11294.00,INR,2025-09-25,14,3,9,39,false,false,50,2025-09-11 00:00:00+00,false
010c3c9b-6f82-4d0b-ae15-097fe07dfd9e,BBI,BOM,AI,AI-9537,ECONOMY,13255.20,INR,2026-04-19,15,6,4,16,false,true,9,2026-04-04 21:53:58.365021+00,true
01105d77-399c-4e05-a31e-b7213cb66efa,RPR,STV,SG,HIST-000,Economy,7854.00,INR,2023-04-01,14,5,4,13,false,true,50,2023-03-18 00:00:00+00,false
011c2294-d7f3-4622-8d5b-f53e9881b9ad,BBI,DEL,AI,AI-1847,ECONOMY,9162.00,INR,2026-04-19,15,6,4,16,false,true,9,2026-04-04 22:01:55.687595+00,true
011c5bca-75d5-4d3c-ad98-44b77f705396,BLR,DEL,AI,AI-9400,ECONOMY,7821.00,INR,2026-04-12,8,6,4,15,false,true,9,2026-04-04 22:11:55.004766+00,true
012fab60-c8a5-47c1-8f6d-46d3aa13d748,PNQ,COK,AI,HIST-000,Economy,6786.00,INR,2023-12-12,14,1,12,50,false,false,50,2023-11-28 00:00:00+00,false
013fb985-8d7d-445c-b425-2d5dd1566069,HYD,CCU,QP,HIST-000,Economy,8305.00,INR,2024-11-15,14,4,11,46,false,false,50,2024-11-01 00:00:00+00,false
0142d29f-f26d-4c70-9a71-3a1937029f0d,DEL,BLR,AI,AI-2757,ECONOMY,7726.50,INR,2026-04-12,8,6,4,15,false,true,9,2026-04-04 22:11:02.078895+00,true
0148eb21-8a64-4a5b-aefc-1cbbf3976f15,MAA,BOM,AI,AI-2779,ECONOMY,11492.10,INR,2026-04-19,15,6,4,16,false,true,9,2026-04-04 22:14:40.428136+00,true
014c0d10-f709-4ef3-8309-6419f6cbaf45,AMD,LKO,UK,HIST-000,Economy,4237.00,INR,2025-10-14,14,1,10,42,false,false,50,2025-09-30 00:00:00+00,false
014ee96f-a592-4eb7-ae10-b1a8a6a302a8,BBI,VNS,G8,HIST-000,Economy,15707.00,INR,2024-01-26,14,4,1,4,false,false,50,2024-01-12 00:00:00+00,false
